Data Set 1:Wavelength(nm),Data Set 1:Intensity
380.60000000000002,0.021738638386612753
381.39999999999998,0.02245072607512525
382.30000000000001,0.022675372786382167
383.19999999999999,0.022911039902342261
384,0.022841526580368421
384.89999999999998,0.02297122826649034
385.69999999999999,0.023150097912057171
386.60000000000002,0.02313738206047659
387.39999999999998,0.023357790154539985
388.30000000000001,0.024058857438349315
389.19999999999999,0.024358103812212307
390,0.024344540237193023
390.89999999999998,0.023740961148834807
391.69999999999999,0.023089061824470385
392.60000000000002,0.023133991166721768
393.39999999999998,0.023484100946907085
394.30000000000001,0.02420551359324534
395.19999999999999,0.024372515110670297
396,0.024550537032798424
396.89999999999998,0.024236879360477439
397.69999999999999,0.024486110051456813
398.60000000000002,0.024408119495095925
399.39999999999998,0.024418292176360382
400.30000000000001,0.024288590490238467
401.19999999999999,0.02417669099632936
402,0.024475089646753649
402.89999999999998,0.024074964183684718
403.69999999999999,0.023509532650068242
404.60000000000002,0.023337444792011056
405.39999999999998,0.023724006680060698
406.30000000000001,0.024306392682451279
407.19999999999999,0.024376753727863826
408,0.024085136864949182
408.89999999999998,0.023623127590854758
409.69999999999999,0.023173834168340922
410.60000000000002,0.023774022362944316
411.39999999999998,0.024019014436730161
412.30000000000001,0.023963912413214314
413.10000000000002,0.023083975483838153
414,0.022727083916143202
414.89999999999998,0.02252278256741521
415.69999999999999,0.022449878351686544
416.60000000000002,0.022582123208124583
417.39999999999998,0.022778795045904226
418.30000000000001,0.023037350694709361
419.10000000000002,0.022904258114832619
420,0.02276014513025271
420.89999999999998,0.022968685096174227
421.69999999999999,0.023171290998024809
422.60000000000002,0.023106864016683198
423.39999999999998,0.022741495214601188
424.30000000000001,0.022667743275433819
425.10000000000002,0.02245157379856396
426,0.022158261488771903
426.89999999999998,0.021820867560167174
427.69999999999999,0.0215563778472911
428.60000000000002,0.021310538050066545
429.39999999999998,0.020931605672965252
430.30000000000001,0.020795969922772394
431.10000000000002,0.020878199096326815
432,0.020873112755694583
432.89999999999998,0.021156252384222172
433.69999999999999,0.02107995727473869
434.60000000000002,0.021595373125471544
435.39999999999998,0.021734399769419224
436.30000000000001,0.021835278858625164
437.10000000000002,0.021122343446673957
438,0.020354306011206906
438.89999999999998,0.020164415960936904
439.69999999999999,0.020011825741969941
440.60000000000002,0.020222908878207574
441.39999999999998,0.019905012588693066
442.30000000000001,0.019832108372964403
443.10000000000002,0.019548968744436814
444,0.019350601459779761
444.89999999999998,0.01946843501775981
445.69999999999999,0.019710036197790833
446.60000000000002,0.019527775658469183
447.39999999999998,0.019533709722540118
448.30000000000001,0.019464196400566281
449.10000000000002,0.019849062841738513
450,0.02008642540457601
450.89999999999998,0.019398921695785967
451.69999999999999,0.019521841594398244
452.60000000000002,0.019023380212439493
453.39999999999998,0.019587964022617258
454.30000000000001,0.019384510397327973
455.10000000000002,0.01895132372014954
456,0.018953866890465656
456.89999999999998,0.018357069589617088
457.69999999999999,0.018799581224621283
458.60000000000002,0.018782626755847173
459.39999999999998,0.019396378525469851
460.30000000000001,0.019481150869340384
461.10000000000002,0.018888592185685341
462,0.018897917143511102
462.89999999999998,0.018300272119223825
463.69999999999999,0.018686834007273466
464.60000000000002,0.018442689656926324
465.39999999999998,0.018101057111128069
466.30000000000001,0.017994243957851194
467.10000000000002,0.017645829624543294
468,0.017826394716987534
468.89999999999998,0.017319456100641731
469.69999999999999,0.017207556606732621
470.60000000000002,0.017731449691852533
471.39999999999998,0.017705170265252666
472.30000000000001,0.017383883081983336
473.10000000000002,0.017102438900333156
474,0.017120241092545969
474.89999999999998,0.017486457618066685
475.69999999999999,0.017370319506964049
476.60000000000002,0.01804002102354128
477.39999999999998,0.018091732153302308
478.30000000000001,0.018086645812670075
479.10000000000002,0.018035782406347754
480,0.018289251714520654
480.89999999999998,0.01845794867882302
481.69999999999999,0.018376567228707306
482.60000000000002,0.017811983418529541
483.39999999999998,0.01738049218822851
484.30000000000001,0.017377101294473691
485.10000000000002,0.017955248679670747
486,0.018233301967566101
486.89999999999998,0.018551198257080612
487.69999999999999,0.018141747836185926
488.60000000000002,0.018685986283834763
489.39999999999998,0.018161245475276148
490.30000000000001,0.018341810567720392
491.10000000000002,0.018246017819146684
492,0.018219738392546821
492.89999999999998,0.018257038223849852
493.69999999999999,0.018061214109508915
494.60000000000002,0.018339267397404272
495.39999999999998,0.018434212422539276
496.30000000000001,0.017967116807812621
497.10000000000002,0.01743728965862177
498,0.017612768410433778
498.80000000000001,0.017919644295245122
499.69999999999999,0.018317226587997931
500.60000000000002,0.018111229792392533
501.39999999999998,0.018094275323618424
502.30000000000001,0.017683977179285031
503.10000000000002,0.017268592694319407
504,0.017038859642430255
504.80000000000001,0.017399989827318735
505.69999999999999,0.017871324059238917
506.60000000000002,0.018281622203572306
507.39999999999998,0.018240083755075746
508.30000000000001,0.018305358459856057
509.10000000000002,0.018219738392546821
510,0.018391826250604003
510.80000000000001,0.018015437043818826
511.69999999999999,0.018368089994320252
512.5,0.018539330128938738
513.29999999999995,0.019284479031560744
514.10000000000002,0.019150538728245303
514.89999999999998,0.018548655086764492
515.70000000000005,0.018053584598560567
516.5,0.018002721192238245
517.29999999999995,0.0182799267566949
518.10000000000002,0.018435060145977976
518.89999999999998,0.018550350533641905
519.70000000000005,0.01820617481752753
520.5,0.01794168510465146
521.20000000000005,0.017136347837881372
522,0.017428812424234719
522.79999999999995,0.017107525240965388
523.60000000000002,0.017748404160626636
524.39999999999998,0.017733145138729939
525.20000000000005,0.018178199944050254
526,0.018202783923772711
526.79999999999995,0.01791286250773548
527.60000000000002,0.017864542271729275
528.39999999999998,0.017987462170341549
529.20000000000005,0.018262972287920787
530,0.018435060145977976
530.70000000000005,0.018662250027551012
531.5,0.01920309758144503
532.29999999999995,0.019311606181599321
