Data Set 1:Wavelength(nm),Data Set 1:Intensity
380.60000000000002,0.015552249434144605
381.39999999999998,0.015691699939811638
382.30000000000001,0.015537414273967261
383.19999999999999,0.015220365707891459
384,0.01540262624721311
384.89999999999998,0.015589973127166992
385.69999999999999,0.016078261827861279
386.60000000000002,0.015650161491315075
387.39999999999998,0.015354306011206905
388.30000000000001,0.015092359468646951
389.19999999999999,0.014772767732255028
390,0.015202563515678646
390.89999999999998,0.015432296567567796
391.69999999999999,0.016011291676203559
392.60000000000002,0.016006205335571323
393.39999999999998,0.016038418826242126
394.30000000000001,0.016336817476666415
395.19999999999999,0.016349533328246992
396,0.01693022388376016
396.89999999999998,0.0172523587904682
397.69999999999999,0.017122657104346281
398.60000000000002,0.016447869247136811
399.39999999999998,0.01641226486271119
400.30000000000001,0.016883599094631364
401.19999999999999,0.017149784254384851
402,0.017301526749913108
402.89999999999998,0.017218449852919985
403.69999999999999,0.017123504827784984
404.60000000000002,0.016499580376897839
405.39999999999998,0.016721683917838646
406.30000000000001,0.017093834507430298
407.19999999999999,0.017401558115680338
408,0.017451573798563956
408.89999999999998,0.017093834507430294
409.69999999999999,0.017041275654230564
410.60000000000002,0.017026016632333871
411.39999999999998,0.017417664861015744
412.30000000000001,0.017787272280291276
413.10000000000002,0.017627052550375964
414,0.017390537710977171
414.89999999999998,0.017053143782372437
415.69999999999999,0.017159109212210606
416.60000000000002,0.01660808897705213
417.39999999999998,0.016428371608046593
418.30000000000001,0.016555530123852399
419.10000000000002,0.017068402804269134
420,0.01757364597373753
420.89999999999998,0.017537193865873196
421.69999999999999,0.017432076159473734
422.60000000000002,0.016976848672888956
423.39999999999998,0.016827649347676815
424.30000000000001,0.017019234844824226
425.10000000000002,0.016750506514754626
426,0.017254901960784316
426.89999999999998,0.017410035350067396
427.69999999999999,0.017295592685842166
428.60000000000002,0.016583504997329673
429.39999999999998,0.016596220848910253
430.30000000000001,0.016831040241431634
431.10000000000002,0.016684384086535609
432,0.016036723379364713
432.89999999999998,0.015911260310436326
433.69999999999999,0.01642498071429177
434.60000000000002,0.016904792180599003
435.39999999999998,0.017271856429558422
436.30000000000001,0.017026864355772574
437.10000000000002,0.016711511236574179
438,0.016905639904037706
438.89999999999998,0.016781024558548019
439.69999999999999,0.017333740240583907
440.60000000000002,0.016280020006273155
441.39999999999998,0.016652170595864803
442.30000000000001,0.016215593024931547
443.10000000000002,0.016703881725625831
444,0.016428371608046589
444.89999999999998,0.016208811237421905
445.69999999999999,0.016240177004654001
446.60000000000002,0.01604774378406789
447.39999999999998,0.016802217644515654
448.30000000000001,0.016725074811593466
449.10000000000002,0.016807303985147883
450,0.016153709213906058
450.89999999999998,0.016050286954384003
451.69999999999999,0.015929910226087841
452.60000000000002,0.015901087629171858
453.39999999999998,0.016092673126319269
454.30000000000001,0.016325797071963244
455.10000000000002,0.016433457948678825
456,0.016277476835957035
456.89999999999998,0.015842594711901192
457.69999999999999,0.015810381221230387
458.60000000000002,0.016079957274738689
459.39999999999998,0.016220679365563779
460.30000000000001,0.016424132990853064
461.10000000000002,0.016035027932487306
462,0.015939235183913599
462.89999999999998,0.015621338894399093
463.69999999999999,0.015914651204191149
464.60000000000002,0.01623169977026695
465.39999999999998,0.016414808033027306
466.30000000000001,0.016663191000567977
467.10000000000002,0.016976000949450253
