Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity,Data Set 6:Wavelength(nm),Data Set 6:Intensity,Data Set 7:Wavelength(nm),Data Set 7:Intensity
380.60000000000002,0.016722107779557994,380.60000000000002,0.016460924188092873,380.60000000000002,0.015758754863813229,380.60000000000002,0.017023600620533555,380.60000000000002,0.015462602680501513,380.60000000000002,0.036056432949314619,380.60000000000002,0.016258487830930039
381.39999999999998,0.016658952383374444,381.39999999999998,0.016079448640675464,381.39999999999998,0.01572103117079084,381.39999999999998,0.017104558208929917,381.39999999999998,0.015758458160609685,381.39999999999998,0.036285318277765065,381.39999999999998,0.016354280579503739
382.30000000000001,0.016509753058162307,382.30000000000001,0.015831065673134796,382.30000000000001,0.015457389181353476,382.30000000000001,0.017115578613633085,382.30000000000001,0.016065334045421025,382.30000000000001,0.037741707145460865,382.30000000000001,0.016088095419750259
383.19999999999999,0.016081652721616102,383.19999999999999,0.015386010867814482,383.19999999999999,0.015516729822062847,383.19999999999999,0.017559785695514692,383.19999999999999,0.01581949424819647,383.19999999999999,0.038486856048082878,383.19999999999999,0.016264421895000974
384,0.016245263345286233,384,0.016093012215694747,384,0.015409916668785972,384,0.017689487381636611,384,0.016083136237633838,384,0.039622805455948047,384,0.015613370294075262
384.89999999999998,0.016857319668031504,384.89999999999998,0.01637445639734493,384.89999999999998,0.015562506887752937,384.89999999999998,0.017714071361359066,384.89999999999998,0.016078897620440308,384.89999999999998,0.040545976280698177,384.89999999999998,0.015469257309495351
385.69999999999999,0.017290506345209941,385.69999999999999,0.016707611708756138,385.69999999999999,0.015384484965624811,385.69999999999999,0.017543678950179289,385.69999999999999,0.016503607063231691,385.69999999999999,0.041776022990259655,385.69999999999999,0.015426871137560083
386.60000000000002,0.016715749853767704,386.60000000000002,0.01603960563905631,386.60000000000002,0.015624390698778429,386.60000000000002,0.017157964785568351,386.60000000000002,0.016261158159761962,386.60000000000002,0.042579664810152337,386.60000000000002,0.0159999321821249
387.39999999999998,0.016538575655078287,387.39999999999998,0.015892101760721582,387.39999999999998,0.015540466078346599,387.39999999999998,0.017491120096979555,387.39999999999998,0.016342539609877676,387.39999999999998,0.042838220458957466,387.39999999999998,0.016109288505717891
388.30000000000001,0.016841212922696098,388.30000000000001,0.015965853699888947,388.30000000000001,0.016103354441646952,388.30000000000001,0.017437713520341121,388.30000000000001,0.015536354619668877,388.30000000000001,0.044134389596737961,388.30000000000001,0.016249162873104274
389.19999999999999,0.016931919330637573,389.19999999999999,0.016164220984546,389.19999999999999,0.016444139264006504,389.19999999999999,0.017812407280248885,389.19999999999999,0.015685553944881022,389.19999999999999,0.045266100387409608,389.19999999999999,0.016142349719827403
390,0.016966675991624495,390,0.016576214575756802,390,0.016807812619211104,390,0.018321041343472098,390,0.015566872663462275,390,0.045907827030509558,390,0.016715410764392223
390.89999999999998,0.016746267897561097,390.89999999999998,0.016539762467892471,390.89999999999998,0.015983825436789497,390.89999999999998,0.018542297160974198,390.89999999999998,0.016429855124064325,390.89999999999998,0.045645880487949604,390.89999999999998,0.016133872485440348
391.69999999999999,0.017767774641201058,391.69999999999999,0.016273577308138991,391.69999999999999,0.015476039097004991,391.69999999999999,0.018813568661359914,391.69999999999999,0.016342539609877676,391.69999999999999,0.045406822478234694,391.69999999999999,0.016179649551130437
