Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity
380.60000000000002,0.015674703084865592,380.60000000000002,0.016506319778235547
381.39999999999998,0.01563994642387867,381.39999999999998,0.016482159660232441
382.30000000000001,0.015567042208150013,382.30000000000001,0.016282944652136686
383.19999999999999,0.015203368852945412,383.19999999999999,0.016465205191458339
384,0.014967701736985323,384,0.0164440121054907
384.89999999999998,0.014925315565050055,384.89999999999998,0.016897544145198069
385.69999999999999,0.014829522816476351,385.69999999999999,0.016848376185753158
386.60000000000002,0.014807482007070012,386.60000000000002,0.016722065393386061
387.39999999999998,0.01479815704924425,387.39999999999998,0.016828878546662936
388.30000000000001,0.014770182175766974,388.30000000000001,0.016839898951366103
389.19999999999999,0.015418690606376574,389.19999999999999,0.016716131329315122
390,0.015411908818866931,390,0.016059993387757175
390.89999999999998,0.015851877283555006,390.89999999999998,0.016057450217441059
391.69999999999999,0.015506006120563222,391.69999999999999,0.016071861515899052
392.60000000000002,0.015865440858574296,392.60000000000002,0.016850071632630571
393.39999999999998,0.015188109831048716,393.39999999999998,0.016806837737256594
394.30000000000001,0.014999915227656126,394.30000000000001,0.017289192373879946
395.19999999999999,0.014697277960038313,395.19999999999999,0.016672049710502439
396,0.015252536812390322,396,0.016482159660232441
396.89999999999998,0.015770495833439299,396.89999999999998,0.016524545832167711
397.69999999999999,0.015877308986716174,397.69999999999999,0.016268533353678692
398.60000000000002,0.01591969515865144,398.60000000000002,0.015952332511041594
399.39999999999998,0.015383933945389654,399.39999999999998,0.015594593219907934
400.30000000000001,0.015665378127039834,400.30000000000001,0.015538643472953381
401.19999999999999,0.01524745047175809,401.19999999999999,0.015933682595390079
402,0.015536524164356615,402,0.016727151734018293
402.89999999999998,0.015029585548010814,402.89999999999998,0.016822944482591997
403.69999999999999,0.015442426862660322,403.69999999999999,0.016435534871103646
404.60000000000002,0.015140637318481216,404.60000000000002,0.015819239931164856
405.39999999999998,0.014788832091418494,405.39999999999998,0.016275315141188334
406.30000000000001,0.014852411349321394,406.30000000000001,0.016631358985444586
407.19999999999999,0.015160134957571439,407.19999999999999,0.016474530149284093
408,0.015599255698820815,408,0.016036257131473424
408.89999999999998,0.015182175766977777,408.89999999999998,0.016218517670795074
409.69999999999999,0.014766791282012153,409.69999999999999,0.015880276018751641
410.60000000000002,0.014897340691572778,410.60000000000002,0.016521154938412885
411.39999999999998,0.015583996676924118,411.39999999999998,0.016399082763239314
412.30000000000001,0.016082458058882868,412.30000000000001,0.017070479726693961
413.10000000000002,0.015965472224341529,413.10000000000002,0.016376194230394273
414,0.015413604265744341,414,0.016488941447742086
414.89999999999998,0.01517793714978425,414.89999999999998,0.016107465900324677
415.69999999999999,0.015461076778311841,415.69999999999999,0.016321939930317129
416.60000000000002,0.015677246255181704,416.60000000000002,0.015731076693539497
417.39999999999998,0.015430558734518447,417.39999999999998,0.015727685799784674
418.30000000000001,0.015482269864279476,418.30000000000001,0.015736163034171729
419.10000000000002,0.014989742546391663,419.10000000000002,0.016222756287988603
420,0.015442426862660322,420,0.0164753778727228
420.89999999999998,0.015594169358188584,420.89999999999998,0.016791578715359898
421.69999999999999,0.015770495833439299,421.69999999999999,0.016465205191458335
422.60000000000002,0.015225409662351752,422.60000000000002,0.015831955782745433
423.39999999999998,0.015080448954333137,423.39999999999998,0.015600527283978873
424.30000000000001,0.015311029729660993,424.30000000000001,0.015733619863855609
425.10000000000002,0.015451751820486082,425.10000000000002,0.01606592745182811
426,0.015465315395505367,426,0.016399082763239314
426.89999999999998,0.015587387570678938,426.89999999999998,0.016850071632630567
427.69999999999999,0.015801013877232688,427.69999999999999,0.016813619524766239
428.60000000000002,0.015137246424726395,428.60000000000002,0.01626344701304646
429.39999999999998,0.015465315395505367,429.39999999999998,0.016030323067402489
430.30000000000001,0.015294075260886884,430.30000000000001,0.016383823741342621
431.10000000000002,0.015991751650941393,431.10000000000002,0.016217669947356371
432,0.015100794316862063,432,0.016249883438027177
432.89999999999998,0.014808329730508715,432.89999999999998,0.015813305867093921
433.69999999999999,0.015265252663970904,433.69999999999999,0.016617795410425303
434.60000000000002,0.015127921466900634,434.60000000000002,0.016836508057611284
435.39999999999998,0.016137560082398715,435.39999999999998,0.017232394903486683
436.30000000000001,0.015278816238990188,436.30000000000001,0.016918737231165704
437.10000000000002,0.015431406457957153,437.10000000000002,0.01699418461721048
438,0.014943965480701572,438,0.016967905190610613
438.89999999999998,0.015002458397972243,438.89999999999998,0.016778015140340614
439.69999999999999,0.015251689088951617,439.69999999999999,0.016591515983825435
440.60000000000002,0.015133855530971572,440.60000000000002,0.016661877029237979
441.39999999999998,0.015139789595042509,441.39999999999998,0.016566932004102978
442.30000000000001,0.015382238498512243,442.30000000000001,0.016659333858921863
443.10000000000002,0.015427167840763627,443.10000000000002,0.016303290014665614
444,0.015234734620177512,444,0.016566084280664271
444.89999999999998,0.015107576104371707,444.89999999999998,0.016268533353678692
445.69999999999999,0.014907513372837244,445.69999999999999,0.016228690352059545
446.60000000000002,0.014930401905682289,446.60000000000002,0.016232928969253067
447.39999999999998,0.014877843052482555,447.39999999999998,0.016141374837872889
448.30000000000001,0.015329679645312512,448.30000000000001,0.016562693386909452
449.10000000000002,0.015590778464433758,449.10000000000002,0.016274467417749627
450,0.015757779981858715,450,0.016664420199554091
450.89999999999998,0.015315268346854521,450.89999999999998,0.016644922560463873
451.69999999999999,0.015052474080855862,451.69999999999999,0.016915346337410882
452.60000000000002,0.015472944906453717,452.60000000000002,0.016613556793231773
453.39999999999998,0.015599255698820813,453.39999999999998,0.016715283605876416
454.30000000000001,0.015813729728813265,454.30000000000001,0.01623631986300789
455.10000000000002,0.015598407975382108,455.10000000000002,0.016357544314742758
456,0.015401736137602467,456,0.016308376355297843
456.89999999999998,0.015650119105143138,456.89999999999998,0.016664420199554091
457.69999999999999,0.015434797351711976,457.69999999999999,0.016766994735637444
458.60000000000002,0.015411061095428226,458.60000000000002,0.01618121783949204
