RelTime,Date_(UT)_HR:MN,RA_h,RA_m,RA_s,Dec_sign,Dec_d,Dec_m,Dec_s,APmag,S-brt,delta,deldot,S-O-T,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
31,2000-Feb-01 12:00,14,16,40.60,-,12,58,28.9,18.940,2.110,0.96496616044417 -5.5058038,/*,0.0056,2.4943933,81.134311,-10.71549,n.a.
32,2000-Feb-02 12:00,14,20,37.92,-,13,14,52.7,18.926,2.103,0.96177378601285 -5.5486754,/*,0.0056,2.5109804,81.067569,-10.76209,n.a.
33,2000-Feb-03 12:00,14,24,37.37,-,13,31,09.2,18.911,2.096,0.95855705969786 -5.5901222,/*,0.0056,2.5278620,81.003115,-10.80517,n.a.
34,2000-Feb-04 12:00,14,28,38.98,-,13,47,17.9,18.897,2.089,0.95531681669923 -5.6301015,/*,0.0056,2.5450397,80.941013,-10.84470,n.a.
35,2000-Feb-05 12:00,14,32,42.80,-,14,03,18.3,18.882,2.081,0.95205391710435 -5.6685697,/*,0.0056,2.5625149,80.881329,-10.88063,n.a.
36,2000-Feb-06 12:00,14,36,48.87,-,14,19,09.8,18.867,2.074,0.94876924646375 -5.7054824,/*,0.0057,2.5802892,80.824132,-10.91290,n.a.
37,2000-Feb-07 12:00,14,40,57.24,-,14,34,51.9,18.852,2.066,0.94546371636850 -5.7407938,/*,0.0057,2.5983637,80.769492,-10.94148,n.a.
38,2000-Feb-08 12:00,14,45,07.95,-,14,50,24.1,18.836,2.059,0.94213826502774 -5.7744574,/*,0.0057,2.6167395,80.717479,-10.96631,n.a.
39,2000-Feb-09 12:00,14,49,21.04,-,15,05,45.7,18.821,2.051,0.93879385784538 -5.8064257,/*,0.0057,2.6354172,80.668166,-10.98735,n.a.
40,2000-Feb-10 12:00,14,53,36.56,-,15,20,56.1,18.805,2.043,0.93543148799400 -5.8366500,/*,0.0057,2.6543976,80.621628,-11.00455,n.a.
41,2000-Feb-11 12:00,14,57,54.55,-,15,35,54.7,18.790,2.035,0.93205217698482 -5.8650809,/*,0.0058,2.6736809,80.577940,-11.01787,n.a.
42,2000-Feb-12 12:00,15,02,15.05,-,15,50,40.7,18.774,2.027,0.92865697523168 -5.8916677,/*,0.0058,2.6932672,80.537179,-11.02726,n.a.
43,2000-Feb-13 12:00,15,06,38.10,-,16,05,13.6,18.758,2.019,0.92524696260740 -5.9163590,/*,0.0058,2.7131565,80.499425,-11.03268,n.a.
44,2000-Feb-14 12:00,15,11,03.74,-,16,19,32.6,18.742,2.011,0.92182324899037 -5.9391023,/*,0.0058,2.7333480,80.464757,-11.03407,n.a.
45,2000-Feb-15 12:00,15,15,32.02,-,16,33,36.9,18.726,2.003,0.91838697479928 -5.9598445,/*,0.0058,2.7538412,80.433259,-11.03140,n.a.
46,2000-Feb-16 12:00,15,20,02.96,-,16,47,25.9,18.709,1.995,0.91493931151350 -5.9785311,/*,0.0059,2.7746347,80.405012,-11.02461,n.a.
47,2000-Feb-17 12:00,15,24,36.62,-,17,00,58.6,18.693,1.987,0.91148146217672 -5.9951072,/*,0.0059,2.7957271,80.380103,-11.01367,n.a.
48,2000-Feb-18 12:00,15,29,13.02,-,17,14,14.4,18.676,1.979,0.90801466188087 -6.0095169,/*,0.0059,2.8171165,80.358617,-10.99853,n.a.
49,2000-Feb-19 12:00,15,33,52.20,-,17,27,12.4,18.660,1.970,0.90454017822753 -6.0217035,/*,0.0059,2.8388004,80.340642,-10.97914,n.a.
50,2000-Feb-20 12:00,15,38,34.20,-,17,39,51.8,18.643,1.962,0.90105931176341 -6.0316095,/*,0.0060,2.8607762,80.326266,-10.95547,n.a.
51,2000-Feb-21 12:00,15,43,19.05,-,17,52,11.5,18.626,1.953,0.89757339638659 -6.0391770,/*,0.0060,2.8830406,80.315581,-10.92747,n.a.
52,2000-Feb-22 12:00,15,48,06.77,-,18,04,10.9,18.609,1.945,0.89408379971988 -6.0443472,/*,0.0060,2.9055898,80.308677,-10.89510,n.a.
53,2000-Feb-23 12:00,15,52,57.40,-,18,15,48.9,18.592,1.937,0.89059192344751 -6.0470609,/*,0.0060,2.9284196,80.305646,-10.85832,n.a.
54,2000-Feb-24 12:00,15,57,50.96,-,18,27,04.6,18.575,1.928,0.88709920361099 -6.0472583,/*,0.0060,2.9515251,80.306582,-10.81708,n.a.
