element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""435.22047""","=""0.00001""","=""200""","=""2.12e+07""",B,"=""132737.7039""","=""155708.1075""","=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""435.84915""","=""0.00004""","=""3""","=""1.8e+05""",D,"=""161048.7411""","=""183986.0137""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",,"=""T926""","=""L2634""",
Ar,2,"=""436.20660""","=""0.00001""","=""78""","=""5.5e+06""",B,"=""150474.9903""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""436.78314""","=""0.00001""","=""129""","=""""",,"=""167307.9822""","=""190196.2066""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""437.07529""","=""0.00001""","=""617""","=""6.6e+07""",B,"=""150474.9903""","=""173347.9158""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""437.13285""","=""0.00001""","=""355""","=""2.21e+07""",B,"=""132481.2068""","=""155351.1206""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""437.24888""","=""0.00012""","=""10""","=""""",,"=""158730.2995""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""437.48574""","=""0.00004""","=""30""","=""""",,"=""160239.4280""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""437.59540""","=""0.00001""","=""209""","=""2.05e+07""",B,"=""138243.6444""","=""161089.3846""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""437.92128""","=""0.00017""","=""11""","=""""",,"=""159393.3850""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
