element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,2,"=""464.7429""","=""0.0020""","=""40""","=""""",,"=""281998.2635""","=""303509.514""","=""2s2.2p4.(3P).4s""","=""4P""","=""5/2""","=""2s2.2p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L1406""",
Ne,2,"=""464.8944""","=""0.0020""","=""22""","=""""",,"=""283894.3965""","=""305398.5968""","=""2s2.2p4.(3P).4s""","=""2P""","=""1/2""","=""2s2.2p4.(1S).3p""","=""2P*""","=""3/2""",,"=""""","=""L1406""",
Ne,1,"=""464.9904""","=""0.0001""","=""700""","=""""",,"=""149824.2215""","=""171324.0107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
Ne,2,"=""465.0000""","=""0.0020""","=""40""","=""""",,"=""291495.0176""","=""312994.3611""","=""2s2.2p4.(3P).4p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).5d""","=""4F""","=""7/2""",,"=""""","=""L1406""",
Ne,4,"=""465.16""","=""0.15""","=""2i*""","=""""",,"=""713773+z""","=""735265+z""","=""2s2.2p2.(3P<1>).5g""","=""2[5]""","=""""","=""2s2.2p2.(3P<1>).6h""","=""2[6]*""","=""""",,"=""""","=""L397,L17865""",
Ne,4,"=""465.16""","=""0.15""","=""2i*""","=""""",,"=""714675+z""","=""736167+z""","=""2s2.2p2.(3P<2>).5g""","=""2[4]""","=""""","=""2s2.2p2.(3P<2>).6h""","=""2[5]*""","=""""",,"=""""","=""L397""",
Ne,1,"=""465.2101""","=""0.0020""","=""300""","=""""",,"=""150772.1118""","=""172261.741""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""465.3699""","=""0.0020""","=""500""","=""""",,"=""150772.1118""","=""172254.295""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
Ne,1,"=""465.63936""","=""0.00004""","=""3000""","=""""",,"=""148257.7898""","=""169727.6312""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
Ne,4,"=""465.70""","=""0.15""","=""1i""","=""""",,"=""714555+z""","=""736022+z""","=""2s2.2p2.(3P<2>).5g""","=""2[3]""","=""""","=""2s2.2p2.(3P<2>).6h""","=""2[4]*""","=""""",,"=""""","=""L397,L17865""",
