element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,1,"=""499.1601""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82378.38""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""3P*""","=""1""",,"=""""","=""L11984""",
Hg,1,"=""499.2593""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82374.40""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""3P*""","=""0""",,"=""""","=""L11984""",
Hg,2,"=""501.7279""","=""0.0003""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""502.56""","=""0.02""","=""3""","=""2.67e+04""",B,"=""54068.6829""","=""73961.135""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8s""","=""3S""","=""1""",,"=""T5292""","=""L7587c86""",
Hg,2,"=""502.5607""","=""0.0003""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""504.58""","=""0.02""","=""2""","=""""",,"=""77286.86""","=""97100.23""","=""5d10.6s.5f""","=""3F*""","=""4""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L7587c86""",
Hg,2,"=""506.6493""","=""0.0005""","=""1200""","=""""",,"=""145968.295""","=""165700.298""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,3/2]""","=""7/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,7/2]*""","=""9/2""",,"=""""","=""L11760""",
Hg,2,"=""509.8559""","=""0.0003""","=""60""","=""""",,"=""146062.814""","=""165670.728""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""11/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""9/2""",,"=""""","=""L11760""",
Hg,2,"=""510.0946""","=""0.0003""","=""100""","=""""",,"=""146062.814""","=""165661.563""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""11/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,7/2]*""","=""11/2""",,"=""""","=""L11760""",
Hg,1,"=""510.2705""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""81942.318""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""1P*""","=""1""",,"=""""","=""L3499""",
Hg,1,"=""512.0637""","=""0.0005""","=""70""","=""""",,"=""62350.325""","=""81873.704""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""2""",,"=""""","=""L3499""",
Hg,2,"=""512.8442""","=""0.0003""","=""120000c""","=""2.5e+07""",,"=""106086.013""","=""125579.636""","=""5d9.6s.6p""","=""(2D<5/2>,1P<1>)*""","=""3/2""","=""5d10.7d""","=""2D""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""513.7940""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""81807.95""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""1""",,"=""""","=""L3499""",
Hg,1,"=""513.9926""","=""0.0013""","=""""","=""""",,"=""62350.325""","=""81800.43""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""0""",,"=""""","=""L11984""",
Hg,2,"=""514.6289""","=""0.0003""","=""15000""","=""""",,"=""146505.679""","=""165931.728""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""7/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""7/2""",,"=""""","=""L11760""",
Hg,2,"=""516.2357""","=""0.0008""","=""25000c""","=""1.7e+05""",,"=""86178.478""","=""105544.042""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""3/2""","=""5d10.6d""","=""2D""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""519.6190""","=""0.0008""","=""18000c""","=""4.2e+06""",,"=""106086.013""","=""125325.531""","=""5d9.6s.6p""","=""(2D<5/2>,1P<1>)*""","=""3/2""","=""5d10.7d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""520.4768""","=""0.0003""","=""150000""","=""""",,"=""146062.814""","=""165270.619""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""11/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,7/2]*""","=""13/2""",,"=""""","=""L11760""",
Hg,2,"=""520.5868""","=""0.0003""","=""80h""","=""""",,"=""146727.968""","=""165931.728""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""9/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""7/2""",,"=""""","=""L11760""",
Hg,3,"=""521.082""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,2,"=""521.6382""","=""0.0003""","=""40000""","=""""",,"=""146505.679""","=""165670.728""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""7/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""9/2""",,"=""""","=""L11760""",
