Blue Raw:Wavelength(nm),Blue Raw:Raw,Yellow Raw:Wavelength(nm),Yellow Raw:Raw,Green Raw:Wavelength(nm),Green Raw:Raw,Chlorophyll Raw:Wavelength(nm),Chlorophyll Raw:Raw
380.60000000000002,2340.3249999999998,380.60000000000002,1285.9249999999997,380.60000000000002,1681.6833333333329,380.60000000000002,1323.4416666666666
381.5,2395.047222222222,381.5,1284.7861111111108,381.5,1706.1833333333332,381.5,1312.163888888889
382.30000000000001,2515.6583333333333,382.30000000000001,1268.2305555555556,382.30000000000001,1754.6833333333332,382.30000000000001,1307.7194444444447
383.19999999999999,2657.0472222222229,383.19999999999999,1255.2861111111113,383.19999999999999,1821.1277777777775,383.19999999999999,1325.663888888889
384.10000000000002,2810.9361111111116,384.10000000000002,1239.675,384.10000000000002,1893.4611111111108,384.10000000000002,1339.7194444444442
385,2974.1027777777781,385,1248.286111111111,385,1979.1833333333332,385,1330.497222222222
385.89999999999998,3154.3805555555555,385.89999999999998,1258.5638888888889,385.89999999999998,2069.0166666666664,385.89999999999998,1331.6083333333333
386.80000000000001,3381.047222222222,386.80000000000001,1268.5638888888889,386.80000000000001,2209.5722222222225,386.80000000000001,1335.8861111111112
387.69999999999999,3668.713888888889,387.69999999999999,1271.8972222222221,387.69999999999999,2365.0722222222221,387.69999999999999,1347.1083333333333
388.5,3976.213888888889,388.5,1267.3416666666665,388.5,2534.7388888888891,388.5,1337.5527777777777
389.39999999999998,4307.7138888888885,389.39999999999998,1277.6194444444443,389.39999999999998,2686.7388888888891,389.39999999999998,1335.5527777777779
390.30000000000001,4648.1027777777781,390.30000000000001,1283.6194444444443,390.30000000000001,2842.9611111111112,390.30000000000001,1346.8861111111112
391.19999999999999,5030.9916666666677,391.19999999999999,1289.5083333333332,391.19999999999999,3010.3499999999999,391.19999999999999,1366.9972222222223
392.10000000000002,5413.9361111111102,392.10000000000002,1280.6194444444443,392.10000000000002,3161.6833333333329,392.10000000000002,1375.7194444444442
393,5787.8249999999998,393,1278.0083333333332,393,3313.1277777777777,393,1381.2749999999999
393.89999999999998,6133.7694444444433,393.89999999999998,1282.7305555555556,393.89999999999998,3444.2388888888891,393.89999999999998,1373.5527777777777
394.69999999999999,6455.2694444444433,394.69999999999999,1288.786111111111,394.69999999999999,3583.7944444444443,394.69999999999999,1392.2194444444442
395.60000000000002,6748.9361111111102,395.60000000000002,1291.7861111111113,395.60000000000002,3718.3499999999999,395.60000000000002,1410.4972222222223
396.5,6999.8249999999998,396.5,1286.7861111111113,396.5,3850.5166666666664,396.5,1434.7749999999999
397.39999999999998,7218.5472222222224,397.39999999999998,1284.4527777777778,397.39999999999998,3962.0722222222216,397.39999999999998,1434.2194444444447
398.30000000000001,7387.4361111111111,398.30000000000001,1278.8416666666665,398.30000000000001,4059.6277777777773,398.30000000000001,1445.7194444444447
399.19999999999999,7546.7694444444451,399.19999999999999,1290.5638888888886,399.19999999999999,4153.4611111111108,399.19999999999999,1469.1083333333333
400.10000000000002,7720.6583333333328,400.10000000000002,1291.8416666666665,400.10000000000002,4253.2944444444438,400.10000000000002,1494.8861111111109
400.89999999999998,7892.6583333333328,400.89999999999998,1294.675,400.89999999999998,4353.5722222222221,400.89999999999998,1510.7194444444447
401.80000000000001,8089.2138888888885,401.80000000000001,1298.5638888888886,401.80000000000001,4468.0722222222221,401.80000000000001,1527.7194444444447
402.69999999999999,8267.936111111112,402.69999999999999,1298.675,402.69999999999999,4584.6277777777768,402.69999999999999,1554.3305555555555
403.60000000000002,8494.3805555555555,403.60000000000002,1300.0083333333332,403.60000000000002,4710.5166666666664,403.60000000000002,1575.5527777777777
404.5,8723.2138888888894,404.5,1303.4527777777776,404.5,4821.9611111111108,404.5,1605.2749999999999
405.39999999999998,8975.5472222222234,405.39999999999998,1308.4527777777776,405.39999999999998,4940.5166666666664,405.39999999999998,1628.4416666666666
406.30000000000001,9245.9916666666668,406.30000000000001,1320.5638888888889,406.30000000000001,5074.5722222222221,406.30000000000001,1661.6083333333333
407.19999999999999,9534.8249999999989,407.19999999999999,1308.3416666666665,407.19999999999999,5207.8499999999995,407.19999999999999,1682.7749999999999
408,9821.436111111112,408,1299.5638888888889,408,5335.3499999999995,408,1718.9972222222223
408.89999999999998,10089.047222222222,408.89999999999998,1289.4527777777776,408.89999999999998,5437.9611111111108,408.89999999999998,1743.497222222222
409.80000000000001,10355.43611111111,409.80000000000001,1284.8416666666665,409.80000000000001,5544.1833333333334,409.80000000000001,1772.1083333333333
410.69999999999999,10629.102777777776,410.69999999999999,1295.5638888888886,410.69999999999999,5642.905555555556,410.69999999999999,1792.5527777777777
