Data Set 1:Wavelength(nm),Data Set 1:Intensity
380.60000000000002,0.015521095597772186
381.39999999999998,0.015282037588057271
382.30000000000001,0.015225240117664011
383.19999999999999,0.015130295092529011
384,0.015756762713732272
384.89999999999998,0.015868662207641378
385.69999999999999,0.016171299475259193
386.60000000000002,0.015853403185744682
387.39999999999998,0.015486338936785259
388.30000000000001,0.015444800488288698
389.19999999999999,0.016032272831311516
390,0.016330671481735799
390.89999999999998,0.016572272661766828
391.69999999999999,0.016124674686130398
392.60000000000002,0.016095004365775708
393.39999999999998,0.015609258835397537
394.30000000000001,0.015787280757525664
395.19999999999999,0.015783889863770845
396,0.016210294753439641
396.89999999999998,0.016059399981350087
397.69999999999999,0.015896637081118659
398.60000000000002,0.016096699812653121
399.39999999999998,0.01601531836253741
400.30000000000001,0.016902884802861919
401.19999999999999,0.016485804871018885
402,0.016754533201088478
402.89999999999998,0.016052618193840445
403.69999999999999,0.015837296440409283
404.60000000000002,0.015323576036553833
405.39999999999998,0.015131142815967719
406.30000000000001,0.015556699982197806
407.19999999999999,0.015842382781041515
408,0.016096699812653117
408.89999999999998,0.015911896103015355
409.69999999999999,0.016090765748582186
410.60000000000002,0.015848316845112457
411.39999999999998,0.016052618193840445
412.30000000000001,0.016232335562845979
413.10000000000002,0.01635440773801955
414,0.016433246017819148
414.89999999999998,0.016178081262768838
415.69999999999999,0.016692649390062986
416.60000000000002,0.016821503352746202
417.39999999999998,0.016990200317048565
418.30000000000001,0.016707908411959682
419.10000000000002,0.016706212965082276
420,0.016487500317896291
420.89999999999998,0.016924077888829554
421.69999999999999,0.016759619541720713
422.60000000000002,0.016766401329230355
423.39999999999998,0.016849478226223479
424.30000000000001,0.017054627298390176
425.10000000000002,0.01681641701211397
426,0.016629070132160088
426.89999999999998,0.016338300992684147
427.69999999999999,0.016836762374642902
428.60000000000002,0.017296228478421202
429.39999999999998,0.017861660012037674
430.30000000000001,0.017954909590295266
431.10000000000002,0.017631079236709816
432,0.016583293066469999
432.89999999999998,0.016239965073794327
433.69999999999999,0.015800844332544951
434.60000000000002,0.016642633707179371
435.39999999999998,0.016435789188135267
436.30000000000001,0.01635271229114214
437.10000000000002,0.016278960351974774
438,0.016512932021057452
438.89999999999998,0.016941880081042363
439.69999999999999,0.016952900485745531
440.60000000000002,0.016973245848274462
