t,x,y,z,x_earth,y_earth,z_earth
0.0,0.28277753917038484,-0.7190601107943801,0.045065691735196214,-0.19632321361660995,0.9634969230505095,7.911683628888876e-07
1.0,0.30331090023799356,-0.723072663320356,0.04576548830296432,-0.21351206078409465,0.9602766175312055,7.85426995450602e-07
2.0,0.32365909994318726,-0.7266436052601661,0.04643733582801483,-0.23063454021762853,0.9567578309925442,7.793288572576677e-07
3.0,0.34381804954218226,-0.7297894895327993,0.04708202106389628,-0.247685425159633,0.9529420527260036,7.728753010008844e-07
4.0,0.3637842541867123,-0.7325260986873365,0.04770030369427678,-0.2646595261041572,0.9488308646697541,7.660674289840802e-07
5.0,0.3835547481343044,-0.7348684825929649,0.0482929168121705,-0.28155169245850903,0.9444259403574862,7.589060589576538e-07
6.0,0.4031270370082038,-0.7368309950872783,0.04886056751030365,-0.2983568141717277,0.9397290438379075,7.51391687005087e-07
7.0,0.4224990463236691,-0.7384273293941356,0.04940393755402323,-0.3150698233294213,0.9347420285660871,7.435244473092439e-07
8.0,0.4416690755833511,-0.7396705521840702,0.049923684113481706,-0.3316856957145284,0.9294668362678484,7.353040687276882e-07
9.0,0.4606357573219692,-0.7405731361985493,0.050420440536242235,-0.3481994523336035,0.9239054957784324,7.267298283126669e-07
10.0,0.479398020550012,-0.7411469913968682,0.0508948171450972,-0.3646061609082629,0.9180601218566885,7.178005022989294e-07
11.0,0.4979550581083013,-0.7414034946132895,0.051347402048902445,-0.38090093733146896,0.9119329139760904,7.085143157833132e-07
12.0,0.5163062975005878,-0.7413535177339073,0.05177876195671093,-0.39707894708837305,0.9055261550939383,6.988688935620466e-07
13.0,0.5344513748205115,-0.7410074544190476,0.052189442987531254,-0.4131354066414952,0.8988422104001977,6.888612167723069e-07
14.0,0.5523901114328708,-0.740375245408914,0.05257997146971497,-0.4290655847800841,0.8918835260475546,6.784875938041828e-07
15.0,0.5701224931077301,-0.7394664024585672,0.052950854725355385,-0.44486480393361233,0.8846526278644605,6.677436606595902e-07
16.0,0.5876486513399914,-0.7382900309538721,0.05330258183621348,-0.46052844144952937,0.8771521200532274,6.566244378051811e-07
17.0,0.6049688466170591,-0.7368548512633298,0.05363562438862243,-0.47605193083569974,0.8693846838756533,6.451244917712214e-07
18.0,0.622083453423478,-0.7351692188821286,0.05395043719560243,-0.4914307629685004,0.8613530763292889,6.332382880678813e-07
19.0,0.6389929467940897,-0.7332411434246224,0.054247458995089266,-0.5066604872685887,0.8530601288183476,6.209608920590118e-07
20.0,0.6556978902462047,-0.7310783065200422,0.05452711312379407,-0.5217367128483429,0.8445087458244566,6.082893037882683e-07
21.0,0.6721989249359602,-0.7286880786639863,0.05478980816683946,-0.5366551096388495,0.8357019035837797,5.952249522217248e-07
22.0,0.6884967598929372,-0.7260775350762428,0.05503593858406737,-0.5514114095118011,0.8266426487775689,5.81778311805499e-07
23.0,0.7045921631876247,-0.7232534706172289,0.05526588531492183,-0.5660014074257038,0.8173340972396452,5.679773630458124e-07
24.0,0.7204859538755324,-0.7202224138308737,0.05548001636513959,-0.5804209626494861,0.8077794326667231,5.538827428350472e-07
25.0,0.7361789945450528,-0.7169906402367258,0.055678687379498354,-0.594666000144771,0.7979819052604247,5.396132729282032e-07
26.0,0.7516721843224998,-0.7135641851340578,0.05586224220214919,-0.6087325121718649,0.7879448300877937,5.253826746484912e-07
27.0,0.7669664524301241,-0.7099488563984465,0.05603101340968544,-0.6226165599507457,0.7776715847274849,5.11531783145435e-07
28.0,0.7820627530811994,-0.7061502476562589,0.056185322764025825,-0.636314274526691,0.7671656058615108,4.985025078750615e-07
29.0,0.7969620629731293,-0.7021737509031681,0.05632548152267,-0.6498218555181925,0.7564303857876956,4.866905497081616e-07
30.0,0.8116653807279881,-0.6980245660122851,0.05645179067627613,-0.6631355683422602,0.7454694714425827,4.7624666300981336e-07
31.0,0.8261737247709399,-0.6937077067659561,0.056564541319358515,-0.6762517433812942,0.7342864663328336,4.670318809366853e-07
32.0,0.8404881282949815,-0.6892280068657727,0.056664015184478965,-0.6891667784073476,0.7228850319555159,4.5875585010518963e-07
33.0,0.8546096338209338,-0.6845901279118686,0.05675048516792126,-0.7018771417217078,0.711268886753589,4.5112471997697664e-07
34.0,0.8685392891989857,-0.6797985682370763,0.05682421575503626,-0.7143793741297837,0.6994418037552531,4.439056813960808e-07
35.0,0.8822781449023589,-0.6748576713309046,0.056885463370386385,-0.7266700898689165,0.6874076081916595,4.369325978193939e-07
36.0,0.8958272519927872,-0.6697716335150578,0.056934476692435655,-0.7387459770813296,0.6751701754576547,4.3009187879613187e-07
37.0,0.9091876603977853,-0.6645445109617167,0.05697149695186088,-0.7506037981677443,0.6627334293490155,4.233070349828253e-07
38.0,0.9223604173648534,-0.6591802261964637,0.05699675821904723,-0.7622403901349187,0.6501013404576625,4.16526808215772e-07
39.0,0.935346566052666,-0.6536825741857778,0.05701048768154806,-0.7736526649578432,0.6372779246470214,4.0971698121231553e-07
40.0,0.9481471442481252,-0.6480552280708098,0.057012905911227915,-0.7848376099505014,0.6242672415666441,4.028549249393791e-07
41.0,0.960763183204058,-0.6423017445866205,0.057004227120836255,-0.7957922881349834,0.6110733931864708,3.959259924671472e-07
42.0,0.9731957065920915,-0.6364255691941549,0.05698465940998247,-0.8065138386005436,0.5977005223418198,3.889211181371635e-07
43.0,0.9854457295640825,-0.630430040945943,0.056954405000672954,-0.8169994768467711,0.5841528112853306,3.818351984497748e-07
