t,x,y,z
0.0,0.28277753917038484,-0.7190601107943801,0.045065691735196214
0.5,0.29306708429138373,-0.7211226541048048,0.045419133907531085
1.0,0.30331090060171706,-0.7230726634317054,0.04576548837681858
1.5,0.31350841634256754,-0.7249122828180623,0.046104856052092275
2.0,0.32365910134862985,-0.7266436057583939,0.04643733612825094
2.5,0.33376246471400073,-0.7282686764071015,0.04676302609534582
3.0,0.34381805258908105,-0.7297894907770337,0.04708202175044447
3.5,0.353825446101043,-0.731207997925664,0.04739441721175591
4.0,0.3637842593908214,-0.7325261011266522,0.04770030493473169
4.5,0.37369413775997634,-0.7337456590249051,0.047999775729884786
5.0,0.383554755921144,-0.734868486773552,0.04829291878209334
5.5,0.3933658163461455,-0.7358963571515189,0.048579821671178545
6.0,0.4031270477061592,-0.7368310016606244,0.04886057039356705
6.5,0.4128382033986813,-0.7376741116013301,0.04913524938486672
7.0,0.4224990601563,-0.7384273391264657,0.04940394154320185
7.5,0.4321094167325964,-0.7390922982724119,0.04966672825316943
8.0,0.44166909266075605,-0.7396705659673689,0.049923689410292085
8.5,0.45117792708073023,-0.7401636830164671,0.05017490344585633
9.0,0.4606357776310293,-0.740573155063584,0.050420447352036234
9.5,0.47004251940145814,-0.7409004535298325,0.050660396707213305
10.0,0.47939804394331936,-0.7411470165287665,0.05089482570141297
10.5,0.4887022583338137,-0.7413142497584251,0.05112380716178665
11.0,0.49795508429155766,-0.7414035273703989,0.05134741257807649
11.5,0.5071564573403199,-0.7414161928161561,0.05156571212800681
12.0,0.5163063260182464,-0.7413535596709117,0.05177877470255288
12.5,0.5254046511300067,-0.7412169124353635,0.05198666793104346
13.0,0.5344514050394403,-0.7410075073156507,0.05218945820605903
13.5,0.5434465710004291,-0.7407265729819167,0.052387210708092075
14.0,0.5523901425238488,-0.7403753113058824,0.052579989429940494
14.5,0.5612821227785828,-0.7399548980778535,0.05276785720080894
15.0,0.5701225240246983,-0.7394664837035972,0.052950875710096434
15.5,0.578911367076992,-0.7389111938815377,0.05312910553085186
16.0,0.5876486807972221,-0.7382901302607249,0.05330260614288173
16.5,0.5963345016134383,-0.7376043710800381,0.0534714359554973
17.0,0.604968873064912,-0.736854971789086,0.05363565232989031
17.5,0.6135518453712604,-0.736042965651269,0.05379531160112887
18.0,0.6220834750244343,-0.7351693643294656,0.0539504690997667
18.5,0.6305638244023186,-0.7342351584548032,0.0541011791730608
19.0,0.6389929614027672,-0.7332413181789724,0.05424749520579396
19.5,0.6473709590969585,-0.732188793710533,0.054389469640699975
20.0,0.6556978954010247,-0.7310785158356613,0.054527153998490584
20.5,0.6639738527649657,-0.729911396423776,0.05466059889748414
21.0,0.6721989178779145,-0.7286883289184758,0.054789854072837124
21.5,0.6803731813888769,-0.7274101888142123,0.05491496839538024
22.0,0.6884967376421127,-0.7260778341191146,0.055035989890061775
22.5,0.6965696844263781,-0.7246921058043736,0.055152965754001367
23.0,0.7045921227372888,-0.7232538282405826,0.055265942374158
23.5,0.7125641565521071,-0.7217638096214252,0.055374965344616486
24.0,0.7204858926162939,-0.7202228423750888,0.055480079483497126
24.5,0.7283574402412041,-0.7186317035637761,0.05558132884949367
25.0,0.7361789111123379,-0.7169911552716729,0.05567875675804486
25.5,0.7439504191075939,-0.7153019449817261,0.05577240579714527
26.0,0.7516720801249982,-0.7135648059415727,0.05586231784280126
26.5,0.7593440119194166,-0.711780457518953,0.0559485340741381
27.0,0.7669663339477791,-0.7099496055469303,0.05603109498816443
27.5,0.7745391672223766,-0.7080729426592325,0.056110040414200375
28.0,0.7820626341718091,-0.7061511486160196,0.0561854095279757
28.5,0.7895368585091915,-0.7041848906203739,0.05625724086540436
29.0,0.7969619651072422,-0.7021748236257996,0.0563255723360421
29.5,0.8043380798798988,-0.7001215906350104,0.05639044123623343
30.0,0.8116653296701296,-0.6980258229902759,0.056451884261954535
30.5,0.818943842143619,-0.695888140655588,0.05650993752135863
31.0,0.826173745688031,-0.6937091524909017,0.0565646365470302
31.5,0.833355169317564,-0.691489456518696,0.05661601630795444
32.0,0.8404882425825287,-0.6892296401830927,0.05666411122120839
32.5,0.8475730954836947,-0.6869302806017651,0.05670895516337998
33.0,0.8546098583911637,-0.6845919448108582,0.05675058148172118
33.5,0.8615986619675408,-0.6822151900031386,0.0567890230050414
34.0,0.8685396370951879,-0.6798005637595826,0.0568243120543473
34.5,0.875432914807353,-0.6773486042746054,0.05685648045323481
35.0,0.8822786262229811,-0.674859840575127,0.05688555953803935
35.5,0.8890769024850224,-0.6723347927336665,0.05691158016774996
36.0,0.8958278747020619,-0.6697739720756462,0.05693457273369305
36.5,0.9025316738931064,-0.6671778813810854,0.05695456716899129
37.0,0.9091884309353685,-0.6645470150808546,0.05697159295780318
37.5,0.9157982765149016,-0.6618818594476575,0.056985679144348524
38.0,0.9223613410799415,-0.659182892781901,0.056996854341725196
38.5,0.9288777547968216,-0.6564505855926096,0.05700514674052225
39.0,0.9353476475083335,-0.6536854007735351,0.05701058411723439
39.5,0.9417711486944127,-0.650887793774607,0.057013193842482796
40.0,0.9481483874350323,-0.6480582127688649,0.05701300288904704
40.5,0.9544794923751979,-0.6451970988150093,0.05701003783971282
41.0,0.960764591691939,-0.6423048860157033,0.057004324894940145
41.5,0.967003813063197,-0.6393820016717523,0.056995889880356386
42.0,0.9731972836385191,-0.6364288664322858,0.05698475825407863
42.5,0.9793451300114658,-0.6334458944410609,0.0569709551138696
43.0,0.9854474781936504,-0.6304334934790028,0.05695450520413132
43.5,0.9915044535903278,-0.6273920651030944,0.056935432922740614
44.0,0.997516180977458,-0.6243220047817243,0.05691376232773036
44.5,1.003482784480171,-0.6212237020265959,0.056889517143820456
45.0,1.0094043875525633,-0.6180975405213018,0.056862720768802215
45.5,1.015281112958762,-0.6149438982466587,0.05683339627977991
46.0,1.0211130827551922,-0.6117631476029003,0.05680156643927306
46.5,1.0269004182739905,-0.6085556555288191,0.05676725370118293
47.0,1.0326432401075052,-0.6053217836179455,0.056730480216626696
47.5,1.0383416680938329,-0.6020618882318521,0.056691267839642616
48.0,1.0439958213033371,-0.5987763206106643,0.05664963813276935
48.5,1.0496058180261025,-0.5954654269808598,0.05660561237250274
49.0,1.055171775760277,-0.5921295486604347,0.05655921155463295
49.5,1.060693811201259,-0.5887690221615108,0.05651045639946517
50.0,1.0661720402316863,-0.5853841792904598,0.056459367356926575
50.5,1.071606577912188,-0.5819753472456118,0.05640596461156257
51.0,1.0769975384728598,-0.5785428487126206,0.056350268087424965
51.5,1.0823450353054291,-0.5750870019575499,0.05629229745285487
52.0,1.0876491809560718,-0.5716081209177455,0.05623207212516283
52.5,1.0929100871188513,-0.5681065152905562,0.05616961127520889
53.0,1.0981278646297465,-0.564582490619964,0.05610493383188493
53.5,1.1033026234612395,-0.5610363483811813,0.05603805848650181
54.0,1.1084344727174342,-0.5574683860632736,0.05596900369708364
54.5,1.1135235206296794,-0.5538788972498607,0.05589778769257144
